name,hex
apricot,#FBB982
aquamarine,#00B5BE
bittersweet,#C04F17
black,#221E1F
blue,#2D2F92
bluegreen,#00B3B8
blueviolet,#473992
brickred,#B6321C
brown,#792500
burntorange,#F7921D
cadetblue,#74729A
carnationpink,#F282B4
cerulean,#00A2E3
cornflowerblue,#41B0E4
cyan,#00AEEF
dandelion,#FDBC42
darkorchid,#A4538A
emerald,#00A99D
forestgreen,#009B55
fuchsia,#8C368C
goldenrod,#FFDF42
gray,#949698
green,#00A64F
greenyellow,#DFE674
junglegreen,#00A99A
lavender,#F49EC4
limegreen,#8DC73E
magenta,#EC008C
mahogany,#A9341F
maroon,#AF3235
melon,#F89E7B
midnightblue,#006795
mulberry,#A93C93
navyblue,#006EB8
olivegreen,#3C8031
orange,#F58137
orangered,#ED135A
orchid,#AF72B0
peach,#F7965A
periwinkle,#7977B8
pinegreen,#008B72
plum,#92268F
processblue,#00B0F0
purple,#99479B
rawsienna,#974006
red,#ED1B23
redorange,#F26035
redviolet,#A1246B
rhodamine,#EF559F
royalblue,#0071BC
royalpurple,#613F99
rubinered,#ED017D
salmon,#F69289
seagreen,#3FBC9D
sepia,#671800
skyblue,#46C5DD
springgreen,#C6DC67
tan,#DA9D76
tealblue,#00AEB3
thistle,#D883B7
turquoise,#00B4CE
violet,#58429B
violetred,#EF58A0
white,#FFFFFF
wildstrawberry,#EE2967
yellow,#FFF200
yellowgreen,#98CC70
yelloworange,#FAA21A
